ラテン文字	ハングル
>)>>ﾢ>	ᆩ
>ﾤ>>}>	ᆫ
>)>>ﾤ>	ᆫ
>ﾧ>>}>	ᆮ
>)>>ﾧ>	ᆮ
>ﾩ>>}>	ᆯ
>)>>ﾩ>	ᆯ
>ﾱ>>}>	ᆷ
>)>>ﾱ>	ᆷ
>ﾲ>>}>	ᆸ
>)>>ﾲ>	ᆸ
>ﾵ>>}>	ᆺ
>)>>ﾵ>	ᆺ
>ﾶ>>}}>	ᆻ
>)>>ﾶ>	ᆻ
>ﾷ>>}>	ᆼ
>)>>ﾷ>	ᆼ
>ﾸ>>}>	ᆽ
>)>>ﾸ>	ᆽ
>ﾺ>>}>	ᆾ
>)>>ﾺ>	ᆾ
>ﾻ>>}>	ᆿ
>)>>ﾻ>	ᆿ
>ﾼ>>}>	ᇀ
>)>>ﾼ>	ᇀ
>ﾽ>>}>	ᇁ
>)>>ﾽ>	ᇁ
>ﾾ>>}>	ᇂ
>)>>ﾾ>	ᇂ
%%%%%	## 単独形
>ﾡ>	ㄱ
>ﾢ>	ㄲ
>ﾣ>	ㄳ
>ﾤ>	ㄴ
>ﾥ>	ㄵ
>ﾦ>	ㄶ
>ﾧ>	ㄷ
>ﾨ>	ㄸ
>ﾩ>	ㄹ
>ﾪ>	ㄺ
>ﾫ>	ㄻ
>ﾬ>	ㄼ
>ﾭ>	ㄽ
>ﾮ>	ㄾ
>ﾯ>	ㄿ
>ﾰ>	ㅀ
>ﾱ>	ㅁ
>ﾲ>	ㅂ
>ﾳ>	ㅃ
>ﾴ>	ㅄ
>ﾵ>	ㅅ
>ﾶ>	ㅆ
>ﾷ>	ㅇ
>ﾸ>	ㅈ
>ﾹ>	ㅉ
>ﾺ>	ㅊ
>ﾻ>	ㅋ
>ﾼ>	ㅌ
>ﾽ>	ㅍ
>ﾾ>	ㅎ
%%%%%	## 符号消去
>+>	
>[>	
>]>	
>)>	
*	
	*
%%%%%	# 処理開始,終了
<	|
|	>
